Date,Open,High,Low,Close,Volume
1999-11-10,3927.88,3955.13,3882.27,3918.78,176774
1999-11-11,3918.78,3936.97,3818.55,3845.82,217920
1999-11-12,3873.17,3964.23,3854.9,3882.27,228017
1999-11-15,3936.97,3936.97,3836.73,3854.9,145061
1999-11-16,3827.64,3873.17,3782.02,3827.64,261483
1999-11-17,3827.64,3873.17,3709.05,3845.82,257093
1999-11-18,3882.27,3982.59,3854.9,3936.97,269604
1999-11-19,3991.69,4000.76,3845.82,3845.82,187415
1999-11-22,3854.9,3909.63,3763.85,3863.98,139904
1999-11-24,3845.82,3845.82,3772.92,3827.64,162398
1999-11-25,3745.58,3763.85,3699.95,3727.31,106655
1999-11-26,3690.86,3690.86,3636.25,3645.35,147146
1999-11-29,3645.35,3645.35,3554.19,3636.25,151205
1999-11-30,3636.25,3818.55,3627.17,3763.85,207387
1999-12-01,3818.55,3927.88,3818.55,3845.82,247988
1999-12-02,3882.27,4018.94,3882.27,4009.85,295719
1999-12-03,3964.23,3964.23,3882.27,3927.88,225273
1999-12-06,3927.88,3955.13,3836.73,3845.82,132441
1999-12-07,3836.73,3873.17,3772.92,3863.98,184563
1999-12-08,3827.64,3882.27,3800.19,3809.27,109509
1999-12-09,3763.85,3800.19,3745.58,3782.02,72093
1999-12-10,3873.17,3964.23,3836.73,3964.23,586280
1999-12-13,3973.4,4009.85,3909.63,3909.63,193123
1999-12-14,3955.13,3973.4,3909.63,3909.63,150329
1999-12-15,3891.34,4028.11,3891.34,4028.11,192573
1999-12-16,3982.59,4009.85,3854.9,3891.34,184893
1999-12-17,3927.88,3982.59,3836.73,3836.73,208594
1999-12-20,3818.55,3946.06,3818.55,3936.97,146926
1999-12-21,3955.13,4018.94,3946.06,3964.23,130248
1999-12-22,4000.76,4000.76,3891.34,3900.52,88112
1999-12-24,3936.97,3946.06,3882.27,3891.34,52780
1999-12-27,3873.17,3909.63,3873.17,3909.63,29188
1999-12-28,3900.52,3900.52,3836.73,3845.82,57388
1999-12-29,3827.64,3854.9,3809.27,3809.27,52780
1999-12-30,3800.19,3836.73,3800.19,3809.27,24580
2000-01-04,3818.55,3818.55,3754.65,3772.92,37087
2000-01-05,3827.64,3936.97,3818.55,3873.17,123664
2000-01-06,3836.73,3845.82,3800.19,3809.27,76700
2000-01-07,3873.17,3991.69,3827.64,3918.78,134418
2000-01-11,3873.17,3873.17,3791.11,3800.19,275199
2000-01-12,3772.92,3818.55,3763.85,3763.85,99853
2000-01-13,3782.02,4064.56,3782.02,4000.76,366932
2000-01-14,4091.92,4192.16,4046.3,4091.92,598131
2000-01-17,4055.38,4073.66,3891.34,3891.34,416748
2000-01-18,3936.97,4082.82,3936.97,4018.94,282443
2000-01-19,4009.85,4046.3,3991.69,4000.76,158888
2000-01-20,4009.85,4046.3,3964.23,3982.59,193123
2000-01-21,3982.59,3991.69,3891.34,3946.06,234053
2000-01-24,3973.4,4037.21,3936.97,3936.97,139576
2000-01-25,3918.78,3927.88,3754.65,3763.85,249524
2000-01-26,3800.19,3845.82,3772.92,3827.64,108741
2000-01-27,3736.49,3754.65,3690.86,3709.05,203876
2000-01-28,3754.65,3782.02,3690.86,3754.65,211557
2000-01-31,3727.31,3891.34,3718.22,3863.98,176335
2000-02-01,3882.27,3882.27,3745.58,3772.92,134199
2000-02-02,3818.55,3891.34,3800.19,3827.64,192573
2000-02-03,3800.19,3818.55,3763.85,3791.11,106216
2000-02-04,3791.11,3827.64,3699.95,3699.95,165250
2000-02-07,3663.69,3690.86,3563.37,3572.55,241623
2000-02-08,3572.55,3709.05,3563.37,3699.95,218360
2000-02-09,3690.86,3690.86,3636.25,3663.69,223518
2000-02-10,3627.17,3663.69,3599.81,3608.99,316457
2000-02-14,3608.99,3618.07,3526.92,3545.1,345097
2000-02-15,3545.1,3563.37,3390.14,3426.68,251718
2000-02-16,3472.21,3672.7,3435.77,3590.72,330723
2000-02-17,3545.1,3554.19,3399.23,3554.19,253254
2000-02-18,3417.59,3454.03,3381.06,3399.23,202450
2000-02-21,3399.23,3399.23,3244.48,3253.55,151755
2000-02-22,3226.1,3244.48,2916.31,2916.31,514848
2000-02-23,3007.46,3034.72,2989.19,3016.56,388659
2000-02-24,3034.72,3235.19,3007.46,3144.13,345097
2000-02-25,3207.94,3253.55,3162.41,3217.03,285624
2000-02-28,3289.9,3335.54,3217.03,3217.03,266641
2000-02-29,3289.9,3344.61,3198.84,3280.82,163388
2000-03-01,3308.17,3308.17,3144.13,3144.13,110276
2000-03-02,3144.13,3390.14,3144.13,3326.45,156912
2000-03-03,3417.59,3454.03,3362.89,3390.14,127396
2000-03-06,3399.23,3517.84,3399.23,3508.74,163605
2000-03-07,3499.57,3517.84,3381.06,3463.13,206291
2000-03-08,3463.13,3481.31,3371.98,3371.98,147365
2000-03-09,3435.77,3554.19,3417.59,3545.1,251829
2000-03-10,3636.25,3636.25,3545.1,3590.72,461629
2000-03-13,3709.05,3772.92,3563.37,3608.99,381747
